site,category,Google hits ,FB likes,Twitter ,political alignment?,URL,Notes
SCEPCOP (Debunking Skeptics),conspiracy  ,"7,690",-,30,,http://www.debunkingskeptics.com/,
Secrets of the Fed,conspiracy  ,"3,530,000","19,832",2944,,http://www.secretsofthefed.com/,
Shareblue,clickbait  ,"399,000","1,037,911",23500,left,http://shareblue.com/,
Sheep Killers,conspiracy  ,"5,180",-,-,,http://www.sheepkillers.com/,
Shoebat,conspiracy  ,"545,000","49,000",28700,,http://shoebat.com/,
Silence is Consent,clickbait  ,"92,400","581,241",2888,right,http://silenceisconsent.net/,
Skeptiko,conspiracy  ,"60,600","3,361",1304,,http://skeptiko.com/,
Socialist Standard,clickbait  ,"44,200",-,-,left,https://www.worldsocialism.org,
SourceWatch,clickbait  ,"2,230,000",-,625,left,http://www.sourcewatch.org/,
South Front,conspiracy  ,"1,620,000","42,388",7359,,https://southfront.org/,
Storm Clouds Gathering,conspiracy  ,"309,000","320,227",27100,,http://stormcloudsgathering.com/,
Supreme Patriot,clickbait  ,"149,000","598,953",53,right,http://supremepatriot.com/,
Sure News,clickbait  ,"96,000","56,418",136,right,http://www.surenews.com/,
Sustainable Pulse,conspiracy  ,"52,900","28,010",2769,,http://sustainablepulse.com/,
TakePart,clickbait  ,"80,000,000","681,116",96500,left,http://www.takepart.com/,
Talking Points Memo,clickbait  ,"1,660,000","408,279",230000,left,http://talkingpointsmemo.com/,
TD Newswire,clickbait  ,"399,000","126,710",-,right,http://tdnewswire.com/,
Tea Party News (TPNN),clickbait  ,"181,000","1,368,926",20100,right,http://www.westernjournalism.com/thepoint/,
Tea Party Tribune,clickbait  ,"54,400","14,282",3448,right,http://www.teapartytribune.com/,
Tell Me Now,clickbait  ,"1,250,000","2,252,870",1900,right,http://www.tmn.today/?source=tellmenow.com,
The Advocate,clickbait  ,"906,000","443,630",217000,left,http://www.advocate.com/,
The American Cause,clickbait  ,"164,000",-,29,right,http://www.theamericancause.org/,
The American Conservative,clickbait  ,"69,900,000","52,069",21200,right,http://www.theamericanconservative.com/,
The American Mirror,clickbait  ,"191,000","117,976",4585,right,http://www.theamericanmirror.com/,
The American Prospect,clickbait  ,"384,000","108,450",26400,left,http://prospect.org/,
